primaryTitle,startYear,averageRating,numVotes
Coco,2017,8.4,648750
Toy Story 3,2010,8.3,930738
Toy Story,1995,8.3,1121235
Up,2009,8.3,1180322
Finding Nemo,2003,8.2,1158975
Ratatouille,2007,8.1,883814
Inside Out,2015,8.1,866090
"Monsters, Inc.",2001,8.1,1026722
The Incredibles,2004,8.0,854267
Soul,2020,8.0,407528
Toy Story 2,1999,7.9,644413
Toy Story 4,2019,7.6,297138
Incredibles 2,2018,7.5,350915
Onward,2020,7.4,178977
Luca,2021,7.4,209798
Cars,2006,7.3,502108
A Bug's Life,1998,7.2,326692
Coco,2017,7.2,47
Finding Dory,2016,7.2,319448
Monsters University,2013,7.2,408428
Brave,2012,7.1,461485
Turning Red,2022,6.9,164751
The Good Dinosaur,2015,6.7,133753
Cars 3,2017,6.7,136119
Cars 2,2011,6.2,235974
